Raioane,Grupe de varsta,Ani,Medii,Sexe,value
Total pe tara,Grupe de varsta - total,2023,Urban,Masculin,489196
Total pe tara,Grupe de varsta - total,2023,Urban,Feminin,582513
Total pe tara,Grupe de varsta - total,2023,Rural,Total,1420569
Total pe tara,Grupe de varsta - total,2023,Rural,Masculin,683446
Total pe tara,Grupe de varsta - total,2023,Rural,Feminin,737123
Total pe tara,Grupe de varsta - total,2024,Total,Total,2415549
Total pe tara,Grupe de varsta - total,2024,Total,Masculin,1142281
Total pe tara,Grupe de varsta - total,2024,Total,Feminin,1273268
Total pe tara,Grupe de varsta - total,2024,Urban,Total,1118345
Total pe tara,Grupe de varsta - total,2024,Urban,Masculin,517422
Total pe tara,Grupe de varsta - total,2024,Urban,Feminin,600923
Total pe tara,Grupe de varsta - total,2024,Rural,Total,1297204
Total pe tara,Grupe de varsta - total,2024,Rural,Masculin,624859
Total pe tara,Grupe de varsta - total,2024,Rural,Feminin,672345
Total pe tara,Grupe de varsta - total,2025,Total,Total,2388571
Total pe tara,Grupe de varsta - total,2025,Total,Masculin,1121589
Total pe tara,Grupe de varsta - total,2025,Total,Feminin,1266982
Total pe tara,Grupe de varsta - total,2025,Urban,Total,1121501
Total pe tara,Grupe de varsta - total,2025,Urban,Masculin,514262
Total pe tara,Grupe de varsta - total,2025,Urban,Feminin,607239
Total pe tara,Grupe de varsta - total,2025,Rural,Total,1267070
Total pe tara,Grupe de varsta - total,2025,Rural,Masculin,607327
Total pe tara,Grupe de varsta - total,2025,Rural,Feminin,659743
Total pe tara,Grupe de varsta - total,2026,Total,Total,2365645
Total pe tara,Grupe de varsta - total,2026,Total,Masculin,1102817
Total pe tara,Grupe de varsta - total,2026,Total,Feminin,1262828
Total pe tara,Grupe de varsta - total,2026,Urban,Total,1114708
Total pe tara,Grupe de varsta - total,2026,Urban,Masculin,506726
Total pe tara,Grupe de varsta - total,2026,Urban,Feminin,607982
Total pe tara,Grupe de varsta - total,2026,Rural,Total,1250937
Total pe tara,Grupe de varsta - total,2026,Rural,Masculin,596091
Total pe tara,Grupe de varsta - total,2026,Rural,Feminin,654846
Total pe tara,0-4,2014,Total,Total,187547
Total pe tara,0-4,2014,Total,Masculin,96368
Total pe tara,0-4,2014,Total,Feminin,91179
Total pe tara,0-4,2014,Urban,Total,71480
Total pe tara,0-4,2014,Urban,Masculin,36806
Total pe tara,0-4,2014,Urban,Feminin,34674
Total pe tara,0-4,2014,Rural,Total,116067
Total pe tara,0-4,2014,Rural,Masculin,59562
Total pe tara,0-4,2014,Rural,Feminin,56505
Total pe tara,0-4,2015,Total,Total,186893
Total pe tara,0-4,2015,Total,Masculin,95906
Total pe tara,0-4,2015,Total,Feminin,90987
Total pe tara,0-4,2015,Urban,Total,71904
Total pe tara,0-4,2015,Urban,Masculin,36979
Total pe tara,0-4,2015,Urban,Feminin,34925
Total pe tara,0-4,2015,Rural,Total,114989
Total pe tara,0-4,2015,Rural,Masculin,58927
Total pe tara,0-4,2015,Rural,Feminin,56062
Total pe tara,0-4,2016,Total,Total,187667
Total pe tara,0-4,2016,Total,Masculin,96337
Total pe tara,0-4,2016,Total,Feminin,91330
Total pe tara,0-4,2016,Urban,Total,72292
Total pe tara,0-4,2016,Urban,Masculin,37228
Total pe tara,0-4,2016,Urban,Feminin,35064
Total pe tara,0-4,2016,Rural,Total,115375
Total pe tara,0-4,2016,Rural,Masculin,59109
Total pe tara,0-4,2016,Rural,Feminin,56266
Total pe tara,0-4,2017,Total,Total,188573
Total pe tara,0-4,2017,Total,Masculin,96915
Total pe tara,0-4,2017,Total,Feminin,91658
Total pe tara,0-4,2017,Urban,Total,73378
Total pe tara,0-4,2017,Urban,Masculin,37889
Total pe tara,0-4,2017,Urban,Feminin,35489
Total pe tara,0-4,2017,Rural,Total,115195
Total pe tara,0-4,2017,Rural,Masculin,59026
Total pe tara,0-4,2017,Rural,Feminin,56169
Total pe tara,0-4,2018,Total,Total,185525
Total pe tara,0-4,2018,Total,Masculin,95394
Total pe tara,0-4,2018,Total,Feminin,90131
Total pe tara,0-4,2018,Urban,Total,72674
Total pe tara,0-4,2018,Urban,Masculin,37585
Total pe tara,0-4,2018,Urban,Feminin,35089
Total pe tara,0-4,2018,Rural,Total,112851
