Raioane,Grupe de varsta,Ani,Medii,Sexe,value
..Drochia,45-49,2024,Total,Feminin,1708
..Drochia,45-49,2024,Urban,Total,811
..Drochia,45-49,2024,Urban,Masculin,397
..Drochia,45-49,2024,Urban,Feminin,414
..Drochia,45-49,2024,Rural,Total,2514
..Drochia,45-49,2024,Rural,Masculin,1220
..Drochia,45-49,2024,Rural,Feminin,1294
..Drochia,45-49,2025,Total,Total,3324
..Drochia,45-49,2025,Total,Masculin,1601
..Drochia,45-49,2025,Total,Feminin,1723
..Drochia,45-49,2025,Urban,Total,843
..Drochia,45-49,2025,Urban,Masculin,427
..Drochia,45-49,2025,Urban,Feminin,416
..Drochia,45-49,2025,Rural,Total,2481
..Drochia,45-49,2025,Rural,Masculin,1174
..Drochia,45-49,2025,Rural,Feminin,1307
..Drochia,45-49,2026,Total,Total,3264
..Drochia,45-49,2026,Total,Masculin,1566
..Drochia,45-49,2026,Total,Feminin,1698
..Drochia,45-49,2026,Urban,Total,830
..Drochia,45-49,2026,Urban,Masculin,415
..Drochia,45-49,2026,Urban,Feminin,415
..Drochia,45-49,2026,Rural,Total,2434
..Drochia,45-49,2026,Rural,Masculin,1151
..Drochia,45-49,2026,Rural,Feminin,1283
..Drochia,50-54,2014,Total,Total,5282
..Drochia,50-54,2014,Total,Masculin,2508
..Drochia,50-54,2014,Total,Feminin,2774
..Drochia,50-54,2014,Urban,Total,993
..Drochia,50-54,2014,Urban,Masculin,458
..Drochia,50-54,2014,Urban,Feminin,535
..Drochia,50-54,2014,Rural,Total,4289
..Drochia,50-54,2014,Rural,Masculin,2050
..Drochia,50-54,2014,Rural,Feminin,2239
..Drochia,50-54,2015,Total,Total,5110
..Drochia,50-54,2015,Total,Masculin,2421
..Drochia,50-54,2015,Total,Feminin,2689
..Drochia,50-54,2015,Urban,Total,927
..Drochia,50-54,2015,Urban,Masculin,414
..Drochia,50-54,2015,Urban,Feminin,513
..Drochia,50-54,2015,Rural,Total,4183
..Drochia,50-54,2015,Rural,Masculin,2007
..Drochia,50-54,2015,Rural,Feminin,2176
..Drochia,50-54,2016,Total,Total,4851
..Drochia,50-54,2016,Total,Masculin,2357
..Drochia,50-54,2016,Total,Feminin,2494
..Drochia,50-54,2016,Urban,Total,846
..Drochia,50-54,2016,Urban,Masculin,405
..Drochia,50-54,2016,Urban,Feminin,441
..Drochia,50-54,2016,Rural,Total,4005
..Drochia,50-54,2016,Rural,Masculin,1952
..Drochia,50-54,2016,Rural,Feminin,2053
..Drochia,50-54,2017,Total,Total,4653
..Drochia,50-54,2017,Total,Masculin,2290
..Drochia,50-54,2017,Total,Feminin,2363
..Drochia,50-54,2017,Urban,Total,758
..Drochia,50-54,2017,Urban,Masculin,353
..Drochia,50-54,2017,Urban,Feminin,405
..Drochia,50-54,2017,Rural,Total,3895
..Drochia,50-54,2017,Rural,Masculin,1937
..Drochia,50-54,2017,Rural,Feminin,1958
..Drochia,50-54,2018,Total,Total,4585
..Drochia,50-54,2018,Total,Masculin,2280
..Drochia,50-54,2018,Total,Feminin,2305
..Drochia,50-54,2018,Urban,Total,719
..Drochia,50-54,2018,Urban,Masculin,334
..Drochia,50-54,2018,Urban,Feminin,385
..Drochia,50-54,2018,Rural,Total,3866
..Drochia,50-54,2018,Rural,Masculin,1946
..Drochia,50-54,2018,Rural,Feminin,1920
..Drochia,50-54,2019,Total,Total,4559
..Drochia,50-54,2019,Total,Masculin,2277
..Drochia,50-54,2019,Total,Feminin,2282
..Drochia,50-54,2019,Urban,Total,703
..Drochia,50-54,2019,Urban,Masculin,339
..Drochia,50-54,2019,Urban,Feminin,364
..Drochia,50-54,2019,Rural,Total,3856
..Drochia,50-54,2019,Rural,Masculin,1938
..Drochia,50-54,2019,Rural,Feminin,1918
..Drochia,50-54,2020,Total,Total,4442
..Drochia,50-54,2020,Total,Masculin,2214
..Drochia,50-54,2020,Total,Feminin,2228
..Drochia,50-54,2020,Urban,Total,676
..Drochia,50-54,2020,Urban,Masculin,332
..Drochia,50-54,2020,Urban,Feminin,344
..Drochia,50-54,2020,Rural,Total,3766
..Drochia,50-54,2020,Rural,Masculin,1882
..Drochia,50-54,2020,Rural,Feminin,1884
..Drochia,50-54,2021,Total,Total,4485
..Drochia,50-54,2021,Total,Masculin,2217
..Drochia,50-54,2021,Total,Feminin,2268
..Drochia,50-54,2021,Urban,Total,669
..Drochia,50-54,2021,Urban,Masculin,314
..Drochia,50-54,2021,Urban,Feminin,355
..Drochia,50-54,2021,Rural,Total,3816
..Drochia,50-54,2021,Rural,Masculin,1903
..Drochia,50-54,2021,Rural,Feminin,1913
..Drochia,50-54,2022,Total,Total,4320
..Drochia,50-54,2022,Total,Masculin,2112
..Drochia,50-54,2022,Total,Feminin,2208
..Drochia,50-54,2022,Urban,Total,676
..Drochia,50-54,2022,Urban,Masculin,306
..Drochia,50-54,2022,Urban,Feminin,370
..Drochia,50-54,2022,Rural,Total,3644
..Drochia,50-54,2022,Rural,Masculin,1806
..Drochia,50-54,2022,Rural,Feminin,1838
..Drochia,50-54,2023,Total,Total,4249
..Drochia,50-54,2023,Total,Masculin,2057
..Drochia,50-54,2023,Total,Feminin,2192
..Drochia,50-54,2023,Urban,Total,676
..Drochia,50-54,2023,Urban,Masculin,317
..Drochia,50-54,2023,Urban,Feminin,359
..Drochia,50-54,2023,Rural,Total,3573
..Drochia,50-54,2023,Rural,Masculin,1740
..Drochia,50-54,2023,Rural,Feminin,1833
..Drochia,50-54,2024,Total,Total,3548
..Drochia,50-54,2024,Total,Masculin,1690
..Drochia,50-54,2024,Total,Feminin,1858
..Drochia,50-54,2024,Urban,Total,731
..Drochia,50-54,2024,Urban,Masculin,328
..Drochia,50-54,2024,Urban,Feminin,403
..Drochia,50-54,2024,Rural,Total,2817
..Drochia,50-54,2024,Rural,Masculin,1362
..Drochia,50-54,2024,Rural,Feminin,1455
..Drochia,50-54,2025,Total,Total,3508
..Drochia,50-54,2025,Total,Masculin,1708
..Drochia,50-54,2025,Total,Feminin,1800
..Drochia,50-54,2025,Urban,Total,736
..Drochia,50-54,2025,Urban,Masculin,345
..Drochia,50-54,2025,Urban,Feminin,391
..Drochia,50-54,2025,Rural,Total,2772
..Drochia,50-54,2025,Rural,Masculin,1363
..Drochia,50-54,2025,Rural,Feminin,1409
..Drochia,50-54,2026,Total,Total,3508
..Drochia,50-54,2026,Total,Masculin,1698
..Drochia,50-54,2026,Total,Feminin,1810
..Drochia,50-54,2026,Urban,Total,779
..Drochia,50-54,2026,Urban,Masculin,368
..Drochia,50-54,2026,Urban,Feminin,411
..Drochia,50-54,2026,Rural,Total,2729
..Drochia,50-54,2026,Rural,Masculin,1330
..Drochia,50-54,2026,Rural,Feminin,1399
..Drochia,55-59,2014,Total,Total,5443
..Drochia,55-59,2014,Total,Masculin,2511
..Drochia,55-59,2014,Total,Feminin,2932
..Drochia,55-59,2014,Urban,Total,1108
..Drochia,55-59,2014,Urban,Masculin,481
..Drochia,55-59,2014,Urban,Feminin,627
..Drochia,55-59,2014,Rural,Total,4335
..Drochia,55-59,2014,Rural,Masculin,2030
..Drochia,55-59,2014,Rural,Feminin,2305
..Drochia,55-59,2015,Total,Total,5536
..Drochia,55-59,2015,Total,Masculin,2587
..Drochia,55-59,2015,Total,Feminin,2949
..Drochia,55-59,2015,Urban,Total,1092
..Drochia,55-59,2015,Urban,Masculin,479
..Drochia,55-59,2015,Urban,Feminin,613
..Drochia,55-59,2015,Rural,Total,4444
..Drochia,55-59,2015,Rural,Masculin,2108
..Drochia,55-59,2015,Rural,Feminin,2336
..Drochia,55-59,2016,Total,Total,5620
..Drochia,55-59,2016,Total,Masculin,2633
..Drochia,55-59,2016,Total,Feminin,2987
..Drochia,55-59,2016,Urban,Total,1096
..Drochia,55-59,2016,Urban,Masculin,475
..Drochia,55-59,2016,Urban,Feminin,621
..Drochia,55-59,2016,Rural,Total,4524
..Drochia,55-59,2016,Rural,Masculin,2158
..Drochia,55-59,2016,Rural,Feminin,2366
..Drochia,55-59,2017,Total,Total,5703
..Drochia,55-59,2017,Total,Masculin,2683
..Drochia,55-59,2017,Total,Feminin,3020
..Drochia,55-59,2017,Urban,Total,1064
..Drochia,55-59,2017,Urban,Masculin,483
..Drochia,55-59,2017,Urban,Feminin,581
..Drochia,55-59,2017,Rural,Total,4639
..Drochia,55-59,2017,Rural,Masculin,2200
..Drochia,55-59,2017,Rural,Feminin,2439
..Drochia,55-59,2018,Total,Total,5532
..Drochia,55-59,2018,Total,Masculin,2582
..Drochia,55-59,2018,Total,Feminin,2950
..Drochia,55-59,2018,Urban,Total,1016
..Drochia,55-59,2018,Urban,Masculin,459
..Drochia,55-59,2018,Urban,Feminin,557
..Drochia,55-59,2018,Rural,Total,4516
..Drochia,55-59,2018,Rural,Masculin,2123
..Drochia,55-59,2018,Rural,Feminin,2393
..Drochia,55-59,2019,Total,Total,5333
..Drochia,55-59,2019,Total,Masculin,2527
..Drochia,55-59,2019,Total,Feminin,2806
..Drochia,55-59,2019,Urban,Total,952
..Drochia,55-59,2019,Urban,Masculin,430
..Drochia,55-59,2019,Urban,Feminin,522
..Drochia,55-59,2019,Rural,Total,4381
..Drochia,55-59,2019,Rural,Masculin,2097
..Drochia,55-59,2019,Rural,Feminin,2284
..Drochia,55-59,2020,Total,Total,5141
..Drochia,55-59,2020,Total,Masculin,2440
..Drochia,55-59,2020,Total,Feminin,2701
..Drochia,55-59,2020,Urban,Total,905
..Drochia,55-59,2020,Urban,Masculin,406
..Drochia,55-59,2020,Urban,Feminin,499
..Drochia,55-59,2020,Rural,Total,4236
..Drochia,55-59,2020,Rural,Masculin,2034
..Drochia,55-59,2020,Rural,Feminin,2202
..Drochia,55-59,2021,Total,Total,4881
..Drochia,55-59,2021,Total,Masculin,2343
..Drochia,55-59,2021,Total,Feminin,2538
..Drochia,55-59,2021,Urban,Total,820
..Drochia,55-59,2021,Urban,Masculin,382
..Drochia,55-59,2021,Urban,Feminin,438
..Drochia,55-59,2021,Rural,Total,4061
..Drochia,55-59,2021,Rural,Masculin,1961
..Drochia,55-59,2021,Rural,Feminin,2100
..Drochia,55-59,2022,Total,Total,4595
..Drochia,55-59,2022,Total,Masculin,2239
..Drochia,55-59,2022,Total,Feminin,2356
..Drochia,55-59,2022,Urban,Total,734
..Drochia,55-59,2022,Urban,Masculin,326
..Drochia,55-59,2022,Urban,Feminin,408
..Drochia,55-59,2022,Rural,Total,3861
..Drochia,55-59,2022,Rural,Masculin,1913
..Drochia,55-59,2022,Rural,Feminin,1948
..Drochia,55-59,2023,Total,Total,4407
..Drochia,55-59,2023,Total,Masculin,2143
..Drochia,55-59,2023,Total,Feminin,2264
..Drochia,55-59,2023,Urban,Total,690
..Drochia,55-59,2023,Urban,Masculin,298
..Drochia,55-59,2023,Urban,Feminin,392
..Drochia,55-59,2023,Rural,Total,3717
..Drochia,55-59,2023,Rural,Masculin,1845
..Drochia,55-59,2023,Rural,Feminin,1872
..Drochia,55-59,2024,Total,Total,3943
..Drochia,55-59,2024,Total,Masculin,1877
..Drochia,55-59,2024,Total,Feminin,2066
..Drochia,55-59,2024,Urban,Total,736
..Drochia,55-59,2024,Urban,Masculin,308
..Drochia,55-59,2024,Urban,Feminin,428
..Drochia,55-59,2024,Rural,Total,3207
..Drochia,55-59,2024,Rural,Masculin,1569
..Drochia,55-59,2024,Rural,Feminin,1638
..Drochia,55-59,2025,Total,Total,3873
..Drochia,55-59,2025,Total,Masculin,1833
..Drochia,55-59,2025,Total,Feminin,2040
..Drochia,55-59,2025,Urban,Total,728
..Drochia,55-59,2025,Urban,Masculin,313
..Drochia,55-59,2025,Urban,Feminin,415
..Drochia,55-59,2025,Rural,Total,3145
..Drochia,55-59,2025,Rural,Masculin,1520
..Drochia,55-59,2025,Rural,Feminin,1625
..Drochia,55-59,2026,Total,Total,3858
..Drochia,55-59,2026,Total,Masculin,1822
..Drochia,55-59,2026,Total,Feminin,2036
..Drochia,55-59,2026,Urban,Total,728
..Drochia,55-59,2026,Urban,Masculin,319
..Drochia,55-59,2026,Urban,Feminin,409
..Drochia,55-59,2026,Rural,Total,3130
..Drochia,55-59,2026,Rural,Masculin,1503
..Drochia,55-59,2026,Rural,Feminin,1627
..Drochia,60-64,2014,Total,Total,5097
..Drochia,60-64,2014,Total,Masculin,2222
..Drochia,60-64,2014,Total,Feminin,2875
..Drochia,60-64,2014,Urban,Total,1167
..Drochia,60-64,2014,Urban,Masculin,483
..Drochia,60-64,2014,Urban,Feminin,684
..Drochia,60-64,2014,Rural,Total,3930
..Drochia,60-64,2014,Rural,Masculin,1739
..Drochia,60-64,2014,Rural,Feminin,2191
..Drochia,60-64,2015,Total,Total,4997
..Drochia,60-64,2015,Total,Masculin,2192
..Drochia,60-64,2015,Total,Feminin,2805
..Drochia,60-64,2015,Urban,Total,1133
..Drochia,60-64,2015,Urban,Masculin,469
..Drochia,60-64,2015,Urban,Feminin,664
..Drochia,60-64,2015,Rural,Total,3864
..Drochia,60-64,2015,Rural,Masculin,1723
..Drochia,60-64,2015,Rural,Feminin,2141
..Drochia,60-64,2016,Total,Total,4909
..Drochia,60-64,2016,Total,Masculin,2169
..Drochia,60-64,2016,Total,Feminin,2740
..Drochia,60-64,2016,Urban,Total,1074
..Drochia,60-64,2016,Urban,Masculin,450
..Drochia,60-64,2016,Urban,Feminin,624
..Drochia,60-64,2016,Rural,Total,3835
..Drochia,60-64,2016,Rural,Masculin,1719
..Drochia,60-64,2016,Rural,Feminin,2116
..Drochia,60-64,2017,Total,Total,4891
..Drochia,60-64,2017,Total,Masculin,2175
..Drochia,60-64,2017,Total,Feminin,2716
..Drochia,60-64,2017,Urban,Total,1053
..Drochia,60-64,2017,Urban,Masculin,438
..Drochia,60-64,2017,Urban,Feminin,615
..Drochia,60-64,2017,Rural,Total,3838
..Drochia,60-64,2017,Rural,Masculin,1737
..Drochia,60-64,2017,Rural,Feminin,2101
..Drochia,60-64,2018,Total,Total,5034
..Drochia,60-64,2018,Total,Masculin,2298
..Drochia,60-64,2018,Total,Feminin,2736
..Drochia,60-64,2018,Urban,Total,1019
..Drochia,60-64,2018,Urban,Masculin,427
..Drochia,60-64,2018,Urban,Feminin,592
..Drochia,60-64,2018,Rural,Total,4015
..Drochia,60-64,2018,Rural,Masculin,1871
..Drochia,60-64,2018,Rural,Feminin,2144
..Drochia,60-64,2019,Total,Total,5258
..Drochia,60-64,2019,Total,Masculin,2401
..Drochia,60-64,2019,Total,Feminin,2857
..Drochia,60-64,2019,Urban,Total,1030
..Drochia,60-64,2019,Urban,Masculin,453
..Drochia,60-64,2019,Urban,Feminin,577
..Drochia,60-64,2019,Rural,Total,4228
..Drochia,60-64,2019,Rural,Masculin,1948
..Drochia,60-64,2019,Rural,Feminin,2280
..Drochia,60-64,2020,Total,Total,5324
..Drochia,60-64,2020,Total,Masculin,2464
..Drochia,60-64,2020,Total,Feminin,2860
..Drochia,60-64,2020,Urban,Total,1017
..Drochia,60-64,2020,Urban,Masculin,445
..Drochia,60-64,2020,Urban,Feminin,572
..Drochia,60-64,2020,Rural,Total,4307
..Drochia,60-64,2020,Rural,Masculin,2019
..Drochia,60-64,2020,Rural,Feminin,2288
..Drochia,60-64,2021,Total,Total,5420
..Drochia,60-64,2021,Total,Masculin,2504
..Drochia,60-64,2021,Total,Feminin,2916
..Drochia,60-64,2021,Urban,Total,1027
..Drochia,60-64,2021,Urban,Masculin,438
..Drochia,60-64,2021,Urban,Feminin,589
..Drochia,60-64,2021,Rural,Total,4393
..Drochia,60-64,2021,Rural,Masculin,2066
..Drochia,60-64,2021,Rural,Feminin,2327
..Drochia,60-64,2022,Total,Total,5462
..Drochia,60-64,2022,Total,Masculin,2519
..Drochia,60-64,2022,Total,Feminin,2943
..Drochia,60-64,2022,Urban,Total,985
..Drochia,60-64,2022,Urban,Masculin,450
..Drochia,60-64,2022,Urban,Feminin,535
..Drochia,60-64,2022,Rural,Total,4477
..Drochia,60-64,2022,Rural,Masculin,2069
..Drochia,60-64,2022,Rural,Feminin,2408
..Drochia,60-64,2023,Total,Total,5244
..Drochia,60-64,2023,Total,Masculin,2389
..Drochia,60-64,2023,Total,Feminin,2855
..Drochia,60-64,2023,Urban,Total,936
..Drochia,60-64,2023,Urban,Masculin,415
..Drochia,60-64,2023,Urban,Feminin,521
..Drochia,60-64,2023,Rural,Total,4308
..Drochia,60-64,2023,Rural,Masculin,1974
..Drochia,60-64,2023,Rural,Feminin,2334
..Drochia,60-64,2024,Total,Total,4741
..Drochia,60-64,2024,Total,Masculin,2116
..Drochia,60-64,2024,Total,Feminin,2625
..Drochia,60-64,2024,Urban,Total,1055
..Drochia,60-64,2024,Urban,Masculin,451
..Drochia,60-64,2024,Urban,Feminin,604
..Drochia,60-64,2024,Rural,Total,3686
..Drochia,60-64,2024,Rural,Masculin,1665
..Drochia,60-64,2024,Rural,Feminin,2021
..Drochia,60-64,2025,Total,Total,4489
..Drochia,60-64,2025,Total,Masculin,2007
..Drochia,60-64,2025,Total,Feminin,2482
..Drochia,60-64,2025,Urban,Total,967
..Drochia,60-64,2025,Urban,Masculin,407
..Drochia,60-64,2025,Urban,Feminin,560
..Drochia,60-64,2025,Rural,Total,3522
..Drochia,60-64,2025,Rural,Masculin,1600
..Drochia,60-64,2025,Rural,Feminin,1922
..Drochia,60-64,2026,Total,Total,4272
..Drochia,60-64,2026,Total,Masculin,1908
..Drochia,60-64,2026,Total,Feminin,2364
..Drochia,60-64,2026,Urban,Total,889
..Drochia,60-64,2026,Urban,Masculin,373
..Drochia,60-64,2026,Urban,Feminin,516
..Drochia,60-64,2026,Rural,Total,3383
..Drochia,60-64,2026,Rural,Masculin,1535
..Drochia,60-64,2026,Rural,Feminin,1848
..Drochia,65-69,2014,Total,Total,2702
..Drochia,65-69,2014,Total,Masculin,1092
..Drochia,65-69,2014,Total,Feminin,1610
..Drochia,65-69,2014,Urban,Total,530
..Drochia,65-69,2014,Urban,Masculin,228
..Drochia,65-69,2014,Urban,Feminin,302
..Drochia,65-69,2014,Rural,Total,2172
..Drochia,65-69,2014,Rural,Masculin,864
..Drochia,65-69,2014,Rural,Feminin,1308
..Drochia,65-69,2015,Total,Total,3296
..Drochia,65-69,2015,Total,Masculin,1364
..Drochia,65-69,2015,Total,Feminin,1932
..Drochia,65-69,2015,Urban,Total,664
..Drochia,65-69,2015,Urban,Masculin,275
..Drochia,65-69,2015,Urban,Feminin,389
..Drochia,65-69,2015,Rural,Total,2632
..Drochia,65-69,2015,Rural,Masculin,1089
..Drochia,65-69,2015,Rural,Feminin,1543
..Drochia,65-69,2016,Total,Total,3916
..Drochia,65-69,2016,Total,Masculin,1614
..Drochia,65-69,2016,Total,Feminin,2302
..Drochia,65-69,2016,Urban,Total,807
..Drochia,65-69,2016,Urban,Masculin,317
..Drochia,65-69,2016,Urban,Feminin,490
..Drochia,65-69,2016,Rural,Total,3109
..Drochia,65-69,2016,Rural,Masculin,1297
..Drochia,65-69,2016,Rural,Feminin,1812
..Drochia,65-69,2017,Total,Total,4351
..Drochia,65-69,2017,Total,Masculin,1816
..Drochia,65-69,2017,Total,Feminin,2535
..Drochia,65-69,2017,Urban,Total,898
..Drochia,65-69,2017,Urban,Masculin,362
..Drochia,65-69,2017,Urban,Feminin,536
..Drochia,65-69,2017,Rural,Total,3453
..Drochia,65-69,2017,Rural,Masculin,1454
..Drochia,65-69,2017,Rural,Feminin,1999
..Drochia,65-69,2018,Total,Total,4585
..Drochia,65-69,2018,Total,Masculin,1908
..Drochia,65-69,2018,Total,Feminin,2677
..Drochia,65-69,2018,Urban,Total,978
..Drochia,65-69,2018,Urban,Masculin,394
..Drochia,65-69,2018,Urban,Feminin,584
..Drochia,65-69,2018,Rural,Total,3607
..Drochia,65-69,2018,Rural,Masculin,1514
..Drochia,65-69,2018,Rural,Feminin,2093
..Drochia,65-69,2019,Total,Total,4600
..Drochia,65-69,2019,Total,Masculin,1919
..Drochia,65-69,2019,Total,Feminin,2681
..Drochia,65-69,2019,Urban,Total,1008
..Drochia,65-69,2019,Urban,Masculin,393
..Drochia,65-69,2019,Urban,Feminin,615
..Drochia,65-69,2019,Rural,Total,3592
..Drochia,65-69,2019,Rural,Masculin,1526
..Drochia,65-69,2019,Rural,Feminin,2066
..Drochia,65-69,2020,Total,Total,4527
..Drochia,65-69,2020,Total,Masculin,1893
..Drochia,65-69,2020,Total,Feminin,2634
..Drochia,65-69,2020,Urban,Total,986
..Drochia,65-69,2020,Urban,Masculin,386
..Drochia,65-69,2020,Urban,Feminin,600
..Drochia,65-69,2020,Rural,Total,3541
..Drochia,65-69,2020,Rural,Masculin,1507
..Drochia,65-69,2020,Rural,Feminin,2034
..Drochia,65-69,2021,Total,Total,4450
..Drochia,65-69,2021,Total,Masculin,1880
..Drochia,65-69,2021,Total,Feminin,2570
..Drochia,65-69,2021,Urban,Total,951
..Drochia,65-69,2021,Urban,Masculin,381
..Drochia,65-69,2021,Urban,Feminin,570
..Drochia,65-69,2021,Rural,Total,3499
..Drochia,65-69,2021,Rural,Masculin,1499
..Drochia,65-69,2021,Rural,Feminin,2000
..Drochia,65-69,2022,Total,Total,4394
..Drochia,65-69,2022,Total,Masculin,1862
..Drochia,65-69,2022,Total,Feminin,2532
..Drochia,65-69,2022,Urban,Total,927
..Drochia,65-69,2022,Urban,Masculin,369
..Drochia,65-69,2022,Urban,Feminin,558
..Drochia,65-69,2022,Rural,Total,3467
..Drochia,65-69,2022,Rural,Masculin,1493
..Drochia,65-69,2022,Rural,Feminin,1974
..Drochia,65-69,2023,Total,Total,4500
..Drochia,65-69,2023,Total,Masculin,1937
..Drochia,65-69,2023,Total,Feminin,2563
..Drochia,65-69,2023,Urban,Total,879
..Drochia,65-69,2023,Urban,Masculin,356
..Drochia,65-69,2023,Urban,Feminin,523
..Drochia,65-69,2023,Rural,Total,3621
..Drochia,65-69,2023,Rural,Masculin,1581
..Drochia,65-69,2023,Rural,Feminin,2040
..Drochia,65-69,2024,Total,Total,4586
..Drochia,65-69,2024,Total,Masculin,1975
..Drochia,65-69,2024,Total,Feminin,2611
..Drochia,65-69,2024,Urban,Total,1079
..Drochia,65-69,2024,Urban,Masculin,430
..Drochia,65-69,2024,Urban,Feminin,649
..Drochia,65-69,2024,Rural,Total,3507
..Drochia,65-69,2024,Rural,Masculin,1545
..Drochia,65-69,2024,Rural,Feminin,1962
..Drochia,65-69,2025,Total,Total,4654
..Drochia,65-69,2025,Total,Masculin,2003
..Drochia,65-69,2025,Total,Feminin,2651
..Drochia,65-69,2025,Urban,Total,1083
..Drochia,65-69,2025,Urban,Masculin,441
..Drochia,65-69,2025,Urban,Feminin,642
..Drochia,65-69,2025,Rural,Total,3571
..Drochia,65-69,2025,Rural,Masculin,1562
..Drochia,65-69,2025,Rural,Feminin,2009
..Drochia,65-69,2026,Total,Total,4647
..Drochia,65-69,2026,Total,Masculin,1992
..Drochia,65-69,2026,Total,Feminin,2655
..Drochia,65-69,2026,Urban,Total,1061
..Drochia,65-69,2026,Urban,Masculin,430
..Drochia,65-69,2026,Urban,Feminin,631
..Drochia,65-69,2026,Rural,Total,3586
..Drochia,65-69,2026,Rural,Masculin,1562
..Drochia,65-69,2026,Rural,Feminin,2024
..Drochia,70-74,2014,Total,Total,3434
..Drochia,70-74,2014,Total,Masculin,1268
..Drochia,70-74,2014,Total,Feminin,2166
..Drochia,70-74,2014,Urban,Total,498
..Drochia,70-74,2014,Urban,Masculin,202
..Drochia,70-74,2014,Urban,Feminin,296
..Drochia,70-74,2014,Rural,Total,2936
..Drochia,70-74,2014,Rural,Masculin,1066
..Drochia,70-74,2014,Rural,Feminin,1870
..Drochia,70-74,2015,Total,Total,3199
..Drochia,70-74,2015,Total,Masculin,1178
..Drochia,70-74,2015,Total,Feminin,2021
..Drochia,70-74,2015,Urban,Total,464
..Drochia,70-74,2015,Urban,Masculin,191
..Drochia,70-74,2015,Urban,Feminin,273
..Drochia,70-74,2015,Rural,Total,2735
..Drochia,70-74,2015,Rural,Masculin,987
..Drochia,70-74,2015,Rural,Feminin,1748
..Drochia,70-74,2016,Total,Total,2881
..Drochia,70-74,2016,Total,Masculin,1046
..Drochia,70-74,2016,Total,Feminin,1835
..Drochia,70-74,2016,Urban,Total,440
..Drochia,70-74,2016,Urban,Masculin,172
..Drochia,70-74,2016,Urban,Feminin,268
..Drochia,70-74,2016,Rural,Total,2441
..Drochia,70-74,2016,Rural,Masculin,874
..Drochia,70-74,2016,Rural,Feminin,1567
..Drochia,70-74,2017,Total,Total,2471
..Drochia,70-74,2017,Total,Masculin,854
..Drochia,70-74,2017,Total,Feminin,1617
..Drochia,70-74,2017,Urban,Total,398
..Drochia,70-74,2017,Urban,Masculin,142
..Drochia,70-74,2017,Urban,Feminin,256
..Drochia,70-74,2017,Rural,Total,2073
..Drochia,70-74,2017,Rural,Masculin,712
..Drochia,70-74,2017,Rural,Feminin,1361
..Drochia,70-74,2018,Total,Total,2236
..Drochia,70-74,2018,Total,Masculin,808
..Drochia,70-74,2018,Total,Feminin,1428
..Drochia,70-74,2018,Urban,Total,417
..Drochia,70-74,2018,Urban,Masculin,163
..Drochia,70-74,2018,Urban,Feminin,254
..Drochia,70-74,2018,Rural,Total,1819
..Drochia,70-74,2018,Rural,Masculin,645
..Drochia,70-74,2018,Rural,Feminin,1174
..Drochia,70-74,2019,Total,Total,2295
..Drochia,70-74,2019,Total,Masculin,869
..Drochia,70-74,2019,Total,Feminin,1426
..Drochia,70-74,2019,Urban,Total,447
..Drochia,70-74,2019,Urban,Masculin,177
..Drochia,70-74,2019,Urban,Feminin,270
..Drochia,70-74,2019,Rural,Total,1848
..Drochia,70-74,2019,Rural,Masculin,692
..Drochia,70-74,2019,Rural,Feminin,1156
..Drochia,70-74,2020,Total,Total,2815
..Drochia,70-74,2020,Total,Masculin,1108
..Drochia,70-74,2020,Total,Feminin,1707
..Drochia,70-74,2020,Urban,Total,545
..Drochia,70-74,2020,Urban,Masculin,220
..Drochia,70-74,2020,Urban,Feminin,325
..Drochia,70-74,2020,Rural,Total,2270
..Drochia,70-74,2020,Rural,Masculin,888
..Drochia,70-74,2020,Rural,Feminin,1382
..Drochia,70-74,2021,Total,Total,3292
..Drochia,70-74,2021,Total,Masculin,1290
..Drochia,70-74,2021,Total,Feminin,2002
..Drochia,70-74,2021,Urban,Total,653
..Drochia,70-74,2021,Urban,Masculin,253
..Drochia,70-74,2021,Urban,Feminin,400
..Drochia,70-74,2021,Rural,Total,2639
..Drochia,70-74,2021,Rural,Masculin,1037
..Drochia,70-74,2021,Rural,Feminin,1602
..Drochia,70-74,2022,Total,Total,3590
..Drochia,70-74,2022,Total,Masculin,1416
..Drochia,70-74,2022,Total,Feminin,2174
..Drochia,70-74,2022,Urban,Total,714
..Drochia,70-74,2022,Urban,Masculin,278
..Drochia,70-74,2022,Urban,Feminin,436
..Drochia,70-74,2022,Rural,Total,2876
..Drochia,70-74,2022,Rural,Masculin,1138
..Drochia,70-74,2022,Rural,Feminin,1738
..Drochia,70-74,2023,Total,Total,3817
..Drochia,70-74,2023,Total,Masculin,1493
..Drochia,70-74,2023,Total,Feminin,2324
..Drochia,70-74,2023,Urban,Total,792
..Drochia,70-74,2023,Urban,Masculin,306
..Drochia,70-74,2023,Urban,Feminin,486
..Drochia,70-74,2023,Rural,Total,3025
..Drochia,70-74,2023,Rural,Masculin,1187
..Drochia,70-74,2023,Rural,Feminin,1838
..Drochia,70-74,2024,Total,Total,3698
..Drochia,70-74,2024,Total,Masculin,1422
..Drochia,70-74,2024,Total,Feminin,2276
..Drochia,70-74,2024,Urban,Total,943
..Drochia,70-74,2024,Urban,Masculin,352
..Drochia,70-74,2024,Urban,Feminin,591
..Drochia,70-74,2024,Rural,Total,2755
