domain,cause,sex,age_group,indicator,year,value
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2023,50.8
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2023,757.2
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2023,20.7
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2023,308.1
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2024,50.5
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2024,782.9
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2024,21.0
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2024,325.9
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2014,68.7
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2014,331.3
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2014,24.0
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2014,115.9
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2015,63.9
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2015,332.3
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2015,22.5
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2015,117.2
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2016,57.2
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2016,318.9
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2016,20.4
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2016,114.7
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2017,54.9
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2017,310.5
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2017,19.9
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2017,112.7
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2018,49.5
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2018,300.0
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2018,18.3
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2018,110.8
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2019,50.5
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2019,298.5
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2019,19.0
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2019,112.0
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2020,31.9
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2020,254.7
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2020,12.1
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2020,96.7
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2021,40.3
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2021,272.8
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2021,15.5
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2021,105.1
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2022,43.1
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2022,266.8
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2022,17.0
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2022,105.5
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2023,41.0
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2023,261.3
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2023,16.7
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2023,106.3
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2024,40.0
SAN020200,Boli ale aparatului digestiv,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2024,262.2
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2024,16.7
SAN020200,Boli ale aparatului digestiv,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2024,109.1
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2014,72.1
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2014,190.3
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2014,25.2
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2014,66.6
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2015,68.8
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2015,184.4
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2015,24.3
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2015,65.0
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2016,70.3
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2016,182.9
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2016,25.1
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2016,65.8
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2017,70.8
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2017,177.6
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2017,25.7
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2017,64.5
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2018,67.1
