"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
Total IPC,2006,August,54.21
Total IPC,2006,Septembrie,54.81
Total IPC,2006,Octombrie,55.69
Total IPC,2006,Noiembrie,56.63
Total IPC,2006,Decembrie,57.31
Total IPC,2007,Ianuarie,57.77
Total IPC,2007,Februarie,58.12
Total IPC,2007,Martie,58.47
Total IPC,2007,Aprilie,59.05
Total IPC,2007,Mai,59.58
Total IPC,2007,Iunie,59.58
Total IPC,2007,Iulie,60.24
Total IPC,2007,August,61.56
Total IPC,2007,Septembrie,62.55
Total IPC,2007,Octombrie,63.55
Total IPC,2007,Noiembrie,64.37
Total IPC,2007,Decembrie,64.95
Total IPC,2008,Ianuarie,65.86
Total IPC,2008,Februarie,66.85
Total IPC,2008,Martie,67.59
Total IPC,2008,Aprilie,68.67
Total IPC,2008,Mai,69.77
Total IPC,2008,Iunie,68.93
Total IPC,2008,Iulie,68.31
Total IPC,2008,August,68.79
Total IPC,2008,Septembrie,69.20
Total IPC,2008,Octombrie,69.75
Total IPC,2008,Noiembrie,69.75
Total IPC,2008,Decembrie,69.61
Total IPC,2009,Ianuarie,69.54
Total IPC,2009,Februarie,68.78
Total IPC,2009,Martie,68.23
Total IPC,2009,Aprilie,68.43
Total IPC,2009,Mai,68.57
Total IPC,2009,Iunie,68.36
Total IPC,2009,Iulie,67.95
Total IPC,2009,August,67.21
Total IPC,2009,Septembrie,67.61
Total IPC,2009,Octombrie,68.62
Total IPC,2009,Noiembrie,69.31
Total IPC,2009,Decembrie,69.93
Total IPC,2010,Ianuarie,71.63
Total IPC,2010,Februarie,73.26
Total IPC,2010,Martie,73.75
Total IPC,2010,Aprilie,73.99
Total IPC,2010,Mai,74.07
Total IPC,2010,Iunie,73.68
Total IPC,2010,Iulie,73.20
Total IPC,2010,August,72.52
Total IPC,2010,Septembrie,73.11
Total IPC,2010,Octombrie,74.17
Total IPC,2010,Noiembrie,74.64
Total IPC,2010,Decembrie,75.58
Total IPC,2011,Ianuarie,76.40
Total IPC,2011,Februarie,77.42
Total IPC,2011,Martie,78.06
Total IPC,2011,Aprilie,78.81
Total IPC,2011,Mai,79.26
Total IPC,2011,Iunie,79.36
Total IPC,2011,Iulie,79.25
Total IPC,2011,August,79.21
Total IPC,2011,Septembrie,79.53
Total IPC,2011,Octombrie,80.75
Total IPC,2011,Noiembrie,81.32
Total IPC,2011,Decembrie,81.47
Total IPC,2012,Ianuarie,81.70
Total IPC,2012,Februarie,82.14
Total IPC,2012,Martie,82.31
Total IPC,2012,Aprilie,82.49
Total IPC,2012,Mai,82.49
Total IPC,2012,Iunie,82.28
Total IPC,2012,Iulie,82.39
Total IPC,2012,August,82.70
Total IPC,2012,Septembrie,83.42
Total IPC,2012,Octombrie,83.92
Total IPC,2012,Noiembrie,84.35
Total IPC,2012,Decembrie,84.79
Total IPC,2013,Ianuarie,85.56
Total IPC,2013,Februarie,85.73
Total IPC,2013,Martie,85.79
Total IPC,2013,Aprilie,86.16
Total IPC,2013,Mai,87.20
Total IPC,2013,Iunie,86.78
Total IPC,2013,Iulie,85.93
Total IPC,2013,August,85.74
Total IPC,2013,Septembrie,86.70
Total IPC,2013,Octombrie,87.83
Total IPC,2013,Noiembrie,88.50
Total IPC,2013,Decembrie,89.22
Total IPC,2014,Ianuarie,89.91
Total IPC,2014,Februarie,90.39
Total IPC,2014,Martie,90.67
Total IPC,2014,Aprilie,91.14
Total IPC,2014,Mai,91.27
Total IPC,2014,Iunie,91.15
Total IPC,2014,Iulie,90.47
Total IPC,2014,August,90.11
Total IPC,2014,Septembrie,90.84
Total IPC,2014,Octombrie,92.03
Total IPC,2014,Noiembrie,92.74
Total IPC,2014,Decembrie,93.41
Total IPC,2015,Ianuarie,94.15
Total IPC,2015,Februarie,96.27
Total IPC,2015,Martie,97.10
Total IPC,2015,Aprilie,98.09
Total IPC,2015,Mai,98.63
Total IPC,2015,Iunie,98.71
Total IPC,2015,Iulie,98.25
Total IPC,2015,August,101.07
Total IPC,2015,Septembrie,102.29
Total IPC,2015,Octombrie,104.13
Total IPC,2015,Noiembrie,105.25
Total IPC,2015,Decembrie,106.07
Total IPC,2016,Ianuarie,106.77
Total IPC,2016,Februarie,106.19
Total IPC,2016,Martie,106.20
Total IPC,2016,Aprilie,106.22
Total IPC,2016,Mai,106.41
Total IPC,2016,Iunie,106.06
Total IPC,2016,Iulie,105.10
Total IPC,2016,August,104.70
Total IPC,2016,Septembrie,105.33
Total IPC,2016,Octombrie,106.73
Total IPC,2016,Noiembrie,108.03
Total IPC,2016,Decembrie,108.59
Total IPC,2017,Ianuarie,109.93
Total IPC,2017,Februarie,111.22
Total IPC,2017,Martie,111.67
Total IPC,2017,Aprilie,113.24
Total IPC,2017,Mai,114.30
Total IPC,2017,Iunie,113.80
Total IPC,2017,Iulie,112.75
Total IPC,2017,August,112.33
Total IPC,2017,Septembrie,113.36
Total IPC,2017,Octombrie,115.11
Total IPC,2017,Noiembrie,115.93
Total IPC,2017,Decembrie,116.53
Total IPC,2018,Ianuarie,116.54
Total IPC,2018,Februarie,116.76
Total IPC,2018,Martie,116.88
Total IPC,2018,Aprilie,117.42
Total IPC,2018,Mai,117.45
Total IPC,2018,Iunie,117.46
Total IPC,2018,Iulie,116.08
Total IPC,2018,August,115.88
Total IPC,2018,Septembrie,116.05
Total IPC,2018,Octombrie,116.50
Total IPC,2018,Noiembrie,116.99
Total IPC,2018,Decembrie,117.56
Total IPC,2019,Ianuarie,119.07
Total IPC,2019,Februarie,119.53
Total IPC,2019,Martie,120.18
Total IPC,2019,Aprilie,121.16
Total IPC,2019,Mai,122.83
Total IPC,2019,Iunie,122.57
Total IPC,2019,Iulie,122.31
Total IPC,2019,August,122.27
Total IPC,2019,Septembrie,123.31
Total IPC,2019,Octombrie,124.38
Total IPC,2019,Noiembrie,125.35
Total IPC,2019,Decembrie,126.43
Total IPC,2020,Ianuarie,127.22
Total IPC,2020,Februarie,127.19
Total IPC,2020,Martie,127.31
Total IPC,2020,Aprilie,127.52
Total IPC,2020,Mai,127.80
Total IPC,2020,Iunie,127.78
Total IPC,2020,Iulie,127.49
Total IPC,2020,August,126.49
Total IPC,2020,Septembrie,126.17
Total IPC,2020,Octombrie,126.31
Total IPC,2020,Noiembrie,126.52
Total IPC,2020,Decembrie,126.92
Total IPC,2021,Ianuarie,127.50
Total IPC,2021,Februarie,127.98
Total IPC,2021,Martie,129.21
Total IPC,2021,Aprilie,131.12
Total IPC,2021,Mai,131.75
Total IPC,2021,Iunie,131.82
Total IPC,2021,Iulie,131.93
Total IPC,2021,August,132.37
Total IPC,2021,Septembrie,134.59
Total IPC,2021,Octombrie,137.44
Total IPC,2021,Noiembrie,142.25
Total IPC,2021,Decembrie,144.61
Total IPC,2022,Ianuarie,148.61
Total IPC,2022,Februarie,151.69
Total IPC,2022,Martie,157.84
Total IPC,2022,Aprilie,166.62
Total IPC,2022,Mai,170.02
Total IPC,2022,Iunie,173.78
Total IPC,2022,Iulie,176.19
