"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
"02 Bauturi alcoolice, tutun si droguri",2011,Februarie,..
"02 Bauturi alcoolice, tutun si droguri",2011,Martie,..
"02 Bauturi alcoolice, tutun si droguri",2011,Aprilie,..
"02 Bauturi alcoolice, tutun si droguri",2011,Mai,..
"02 Bauturi alcoolice, tutun si droguri",2011,Iunie,..
"02 Bauturi alcoolice, tutun si droguri",2011,Iulie,..
"02 Bauturi alcoolice, tutun si droguri",2011,August,..
"02 Bauturi alcoolice, tutun si droguri",2011,Septembrie,..
"02 Bauturi alcoolice, tutun si droguri",2011,Octombrie,..
"02 Bauturi alcoolice, tutun si droguri",2011,Noiembrie,..
"02 Bauturi alcoolice, tutun si droguri",2011,Decembrie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Ianuarie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Februarie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Martie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Aprilie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Mai,..
"02 Bauturi alcoolice, tutun si droguri",2012,Iunie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Iulie,..
"02 Bauturi alcoolice, tutun si droguri",2012,August,..
"02 Bauturi alcoolice, tutun si droguri",2012,Septembrie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Octombrie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Noiembrie,..
"02 Bauturi alcoolice, tutun si droguri",2012,Decembrie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Ianuarie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Februarie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Martie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Aprilie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Mai,..
"02 Bauturi alcoolice, tutun si droguri",2013,Iunie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Iulie,..
"02 Bauturi alcoolice, tutun si droguri",2013,August,..
"02 Bauturi alcoolice, tutun si droguri",2013,Septembrie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Octombrie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Noiembrie,..
"02 Bauturi alcoolice, tutun si droguri",2013,Decembrie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Ianuarie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Februarie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Martie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Aprilie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Mai,..
"02 Bauturi alcoolice, tutun si droguri",2014,Iunie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Iulie,..
"02 Bauturi alcoolice, tutun si droguri",2014,August,..
"02 Bauturi alcoolice, tutun si droguri",2014,Septembrie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Octombrie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Noiembrie,..
"02 Bauturi alcoolice, tutun si droguri",2014,Decembrie,..
"02 Bauturi alcoolice, tutun si droguri",2015,Ianuarie,96.56
"02 Bauturi alcoolice, tutun si droguri",2015,Februarie,95.83
"02 Bauturi alcoolice, tutun si droguri",2015,Martie,95.54
"02 Bauturi alcoolice, tutun si droguri",2015,Aprilie,96.04
"02 Bauturi alcoolice, tutun si droguri",2015,Mai,96.36
"02 Bauturi alcoolice, tutun si droguri",2015,Iunie,96.76
"02 Bauturi alcoolice, tutun si droguri",2015,Iulie,99.75
"02 Bauturi alcoolice, tutun si droguri",2015,August,103.06
"02 Bauturi alcoolice, tutun si droguri",2015,Septembrie,103.60
"02 Bauturi alcoolice, tutun si droguri",2015,Octombrie,104.54
"02 Bauturi alcoolice, tutun si droguri",2015,Noiembrie,105.47
"02 Bauturi alcoolice, tutun si droguri",2015,Decembrie,106.49
"02 Bauturi alcoolice, tutun si droguri",2016,Ianuarie,107.77
"02 Bauturi alcoolice, tutun si droguri",2016,Februarie,108.31
"02 Bauturi alcoolice, tutun si droguri",2016,Martie,108.76
"02 Bauturi alcoolice, tutun si droguri",2016,Aprilie,109.68
"02 Bauturi alcoolice, tutun si droguri",2016,Mai,110.12
"02 Bauturi alcoolice, tutun si droguri",2016,Iunie,110.40
"02 Bauturi alcoolice, tutun si droguri",2016,Iulie,111.13
"02 Bauturi alcoolice, tutun si droguri",2016,August,113.00
"02 Bauturi alcoolice, tutun si droguri",2016,Septembrie,114.07
"02 Bauturi alcoolice, tutun si droguri",2016,Octombrie,115.72
"02 Bauturi alcoolice, tutun si droguri",2016,Noiembrie,117.16
"02 Bauturi alcoolice, tutun si droguri",2016,Decembrie,117.47
"02 Bauturi alcoolice, tutun si droguri",2017,Ianuarie,118.17
"02 Bauturi alcoolice, tutun si droguri",2017,Februarie,121.41
"02 Bauturi alcoolice, tutun si droguri",2017,Martie,123.30
"02 Bauturi alcoolice, tutun si droguri",2017,Aprilie,127.03
"02 Bauturi alcoolice, tutun si droguri",2017,Mai,128.27
"02 Bauturi alcoolice, tutun si droguri",2017,Iunie,128.91
"02 Bauturi alcoolice, tutun si droguri",2017,Iulie,130.04
"02 Bauturi alcoolice, tutun si droguri",2017,August,130.72
"02 Bauturi alcoolice, tutun si droguri",2017,Septembrie,131.36
"02 Bauturi alcoolice, tutun si droguri",2017,Octombrie,131.52
"02 Bauturi alcoolice, tutun si droguri",2017,Noiembrie,135.08
"02 Bauturi alcoolice, tutun si droguri",2017,Decembrie,136.03
"02 Bauturi alcoolice, tutun si droguri",2018,Ianuarie,137.26
"02 Bauturi alcoolice, tutun si droguri",2018,Februarie,138.91
"02 Bauturi alcoolice, tutun si droguri",2018,Martie,140.04
"02 Bauturi alcoolice, tutun si droguri",2018,Aprilie,140.84
"02 Bauturi alcoolice, tutun si droguri",2018,Mai,142.05
"02 Bauturi alcoolice, tutun si droguri",2018,Iunie,143.54
"02 Bauturi alcoolice, tutun si droguri",2018,Iulie,146.33
"02 Bauturi alcoolice, tutun si droguri",2018,August,147.36
"02 Bauturi alcoolice, tutun si droguri",2018,Septembrie,149.29
"02 Bauturi alcoolice, tutun si droguri",2018,Octombrie,149.73
"02 Bauturi alcoolice, tutun si droguri",2018,Noiembrie,150.17
"02 Bauturi alcoolice, tutun si droguri",2018,Decembrie,150.14
"02 Bauturi alcoolice, tutun si droguri",2019,Ianuarie,171.18
"02 Bauturi alcoolice, tutun si droguri",2019,Februarie,171.57
"02 Bauturi alcoolice, tutun si droguri",2019,Martie,172.34
"02 Bauturi alcoolice, tutun si droguri",2019,Aprilie,172.72
"02 Bauturi alcoolice, tutun si droguri",2019,Mai,173.88
"02 Bauturi alcoolice, tutun si droguri",2019,Iunie,174.43
"02 Bauturi alcoolice, tutun si droguri",2019,Iulie,174.90
"02 Bauturi alcoolice, tutun si droguri",2019,August,175.12
"02 Bauturi alcoolice, tutun si droguri",2019,Septembrie,175.35
"02 Bauturi alcoolice, tutun si droguri",2019,Octombrie,175.54
"02 Bauturi alcoolice, tutun si droguri",2019,Noiembrie,175.71
"02 Bauturi alcoolice, tutun si droguri",2019,Decembrie,176.84
"02 Bauturi alcoolice, tutun si droguri",2020,Ianuarie,176.89
"02 Bauturi alcoolice, tutun si droguri",2020,Februarie,173.57
"02 Bauturi alcoolice, tutun si droguri",2020,Martie,175.48
"02 Bauturi alcoolice, tutun si droguri",2020,Aprilie,176.34
"02 Bauturi alcoolice, tutun si droguri",2020,Mai,177.48
"02 Bauturi alcoolice, tutun si droguri",2020,Iunie,177.82
"02 Bauturi alcoolice, tutun si droguri",2020,Iulie,178.17
"02 Bauturi alcoolice, tutun si droguri",2020,August,178.16
"02 Bauturi alcoolice, tutun si droguri",2020,Septembrie,179.59
"02 Bauturi alcoolice, tutun si droguri",2020,Octombrie,179.72
"02 Bauturi alcoolice, tutun si droguri",2020,Noiembrie,179.79
"02 Bauturi alcoolice, tutun si droguri",2020,Decembrie,180.51
"02 Bauturi alcoolice, tutun si droguri",2021,Ianuarie,181.25
"02 Bauturi alcoolice, tutun si droguri",2021,Februarie,184.39
"02 Bauturi alcoolice, tutun si droguri",2021,Martie,184.99
"02 Bauturi alcoolice, tutun si droguri",2021,Aprilie,185.65
"02 Bauturi alcoolice, tutun si droguri",2021,Mai,186.76
"02 Bauturi alcoolice, tutun si droguri",2021,Iunie,187.46
"02 Bauturi alcoolice, tutun si droguri",2021,Iulie,187.92
"02 Bauturi alcoolice, tutun si droguri",2021,August,188.25
"02 Bauturi alcoolice, tutun si droguri",2021,Septembrie,189.14
"02 Bauturi alcoolice, tutun si droguri",2021,Octombrie,189.77
"02 Bauturi alcoolice, tutun si droguri",2021,Noiembrie,191.01
"02 Bauturi alcoolice, tutun si droguri",2021,Decembrie,192.24
"02 Bauturi alcoolice, tutun si droguri",2022,Ianuarie,194.85
"02 Bauturi alcoolice, tutun si droguri",2022,Februarie,196.53
"02 Bauturi alcoolice, tutun si droguri",2022,Martie,201.23
"02 Bauturi alcoolice, tutun si droguri",2022,Aprilie,206.53
"02 Bauturi alcoolice, tutun si droguri",2022,Mai,210.56
"02 Bauturi alcoolice, tutun si droguri",2022,Iunie,213.72
"02 Bauturi alcoolice, tutun si droguri",2022,Iulie,215.65
"02 Bauturi alcoolice, tutun si droguri",2022,August,216.92
"02 Bauturi alcoolice, tutun si droguri",2022,Septembrie,218.71
"02 Bauturi alcoolice, tutun si droguri",2022,Octombrie,219.88
"02 Bauturi alcoolice, tutun si droguri",2022,Noiembrie,220.49
"02 Bauturi alcoolice, tutun si droguri",2022,Decembrie,222.70
"02 Bauturi alcoolice, tutun si droguri",2023,Ianuarie,230.89
"02 Bauturi alcoolice, tutun si droguri",2023,Februarie,234.79
"02 Bauturi alcoolice, tutun si droguri",2023,Martie,237.61
"02 Bauturi alcoolice, tutun si droguri",2023,Aprilie,249.60
"02 Bauturi alcoolice, tutun si droguri",2023,Mai,251.50
"02 Bauturi alcoolice, tutun si droguri",2023,Iunie,250.13
"02 Bauturi alcoolice, tutun si droguri",2023,Iulie,250.24
"02 Bauturi alcoolice, tutun si droguri",2023,August,250.44
"02 Bauturi alcoolice, tutun si droguri",2023,Septembrie,250.41
"02 Bauturi alcoolice, tutun si droguri",2023,Octombrie,250.17
"02 Bauturi alcoolice, tutun si droguri",2023,Noiembrie,250.69
"02 Bauturi alcoolice, tutun si droguri",2023,Decembrie,251.44
"02 Bauturi alcoolice, tutun si droguri",2024,Ianuarie,257.72
"02 Bauturi alcoolice, tutun si droguri",2024,Februarie,259.58
"02 Bauturi alcoolice, tutun si droguri",2024,Martie,262.52
"02 Bauturi alcoolice, tutun si droguri",2024,Aprilie,264.69
"02 Bauturi alcoolice, tutun si droguri",2024,Mai,265.86
"02 Bauturi alcoolice, tutun si droguri",2024,Iunie,266.13
"02 Bauturi alcoolice, tutun si droguri",2024,Iulie,266.33
"02 Bauturi alcoolice, tutun si droguri",2024,August,267.38
"02 Bauturi alcoolice, tutun si droguri",2024,Septembrie,268.78
"02 Bauturi alcoolice, tutun si droguri",2024,Octombrie,269.12
"02 Bauturi alcoolice, tutun si droguri",2024,Noiembrie,269.53
"02 Bauturi alcoolice, tutun si droguri",2024,Decembrie,271.38
"02 Bauturi alcoolice, tutun si droguri",2025,Ianuarie,274.22
"02 Bauturi alcoolice, tutun si droguri",2025,Februarie,275.54
"02 Bauturi alcoolice, tutun si droguri",2025,Martie,277.01
"02 Bauturi alcoolice, tutun si droguri",2025,Aprilie,278.98
"02 Bauturi alcoolice, tutun si droguri",2025,Mai,279.93
"02 Bauturi alcoolice, tutun si droguri",2025,Iunie,280.24
"02 Bauturi alcoolice, tutun si droguri",2025,Iulie,280.92
"02 Bauturi alcoolice, tutun si droguri",2025,August,281.81
"02 Bauturi alcoolice, tutun si droguri",2025,Septembrie,282.73
"02 Bauturi alcoolice, tutun si droguri",2025,Octombrie,283.20
"02 Bauturi alcoolice, tutun si droguri",2025,Noiembrie,283.92
"02 Bauturi alcoolice, tutun si droguri",2025,Decembrie,287.59
"02 Bauturi alcoolice, tutun si droguri",2026,Ianuarie,291.88
"02 Bauturi alcoolice, tutun si droguri",2026,Februarie,293.39
"02 Bauturi alcoolice, tutun si droguri",2026,Martie,294.72
"02 Bauturi alcoolice, tutun si droguri",2026,Aprilie,298.02
"02 Bauturi alcoolice, tutun si droguri",2026,Mai,299.30
"02 Bauturi alcoolice, tutun si droguri",2026,Iunie,..
"02 Bauturi alcoolice, tutun si droguri",2026,Iulie,..
"02 Bauturi alcoolice, tutun si droguri",2026,August,..
"02 Bauturi alcoolice, tutun si droguri",2026,Septembrie,..
"02 Bauturi alcoolice, tutun si droguri",2026,Octombrie,..
"02 Bauturi alcoolice, tutun si droguri",2026,Noiembrie,..
"02 Bauturi alcoolice, tutun si droguri",2026,Decembrie,..
03 Imbracaminte si incaltaminte,1994,Ianuarie,..
03 Imbracaminte si incaltaminte,1994,Februarie,..
03 Imbracaminte si incaltaminte,1994,Martie,..
03 Imbracaminte si incaltaminte,1994,Aprilie,..
03 Imbracaminte si incaltaminte,1994,Mai,..
03 Imbracaminte si incaltaminte,1994,Iunie,..
03 Imbracaminte si incaltaminte,1994,Iulie,..
03 Imbracaminte si incaltaminte,1994,August,..
03 Imbracaminte si incaltaminte,1994,Septembrie,..
03 Imbracaminte si incaltaminte,1994,Octombrie,..
03 Imbracaminte si incaltaminte,1994,Noiembrie,..
03 Imbracaminte si incaltaminte,1994,Decembrie,..
03 Imbracaminte si incaltaminte,1995,Ianuarie,..
03 Imbracaminte si incaltaminte,1995,Februarie,..
03 Imbracaminte si incaltaminte,1995,Martie,..
03 Imbracaminte si incaltaminte,1995,Aprilie,..
03 Imbracaminte si incaltaminte,1995,Mai,..
03 Imbracaminte si incaltaminte,1995,Iunie,..
03 Imbracaminte si incaltaminte,1995,Iulie,..
03 Imbracaminte si incaltaminte,1995,August,..
03 Imbracaminte si incaltaminte,1995,Septembrie,..
03 Imbracaminte si incaltaminte,1995,Octombrie,..
03 Imbracaminte si incaltaminte,1995,Noiembrie,..
03 Imbracaminte si incaltaminte,1995,Decembrie,..
03 Imbracaminte si incaltaminte,1996,Ianuarie,..
03 Imbracaminte si incaltaminte,1996,Februarie,..
03 Imbracaminte si incaltaminte,1996,Martie,..
03 Imbracaminte si incaltaminte,1996,Aprilie,..
03 Imbracaminte si incaltaminte,1996,Mai,..
03 Imbracaminte si incaltaminte,1996,Iunie,..
03 Imbracaminte si incaltaminte,1996,Iulie,..
03 Imbracaminte si incaltaminte,1996,August,..
03 Imbracaminte si incaltaminte,1996,Septembrie,..
03 Imbracaminte si incaltaminte,1996,Octombrie,..
03 Imbracaminte si incaltaminte,1996,Noiembrie,..
03 Imbracaminte si incaltaminte,1996,Decembrie,..
03 Imbracaminte si incaltaminte,1997,Ianuarie,..
03 Imbracaminte si incaltaminte,1997,Februarie,..
03 Imbracaminte si incaltaminte,1997,Martie,..
03 Imbracaminte si incaltaminte,1997,Aprilie,..
03 Imbracaminte si incaltaminte,1997,Mai,..
03 Imbracaminte si incaltaminte,1997,Iunie,..
03 Imbracaminte si incaltaminte,1997,Iulie,..
03 Imbracaminte si incaltaminte,1997,August,..
03 Imbracaminte si incaltaminte,1997,Septembrie,..
03 Imbracaminte si incaltaminte,1997,Octombrie,..
03 Imbracaminte si incaltaminte,1997,Noiembrie,..
03 Imbracaminte si incaltaminte,1997,Decembrie,..
03 Imbracaminte si incaltaminte,1998,Ianuarie,..
03 Imbracaminte si incaltaminte,1998,Februarie,..
03 Imbracaminte si incaltaminte,1998,Martie,..
03 Imbracaminte si incaltaminte,1998,Aprilie,..
03 Imbracaminte si incaltaminte,1998,Mai,..
03 Imbracaminte si incaltaminte,1998,Iunie,..
03 Imbracaminte si incaltaminte,1998,Iulie,..
03 Imbracaminte si incaltaminte,1998,August,..
03 Imbracaminte si incaltaminte,1998,Septembrie,..
03 Imbracaminte si incaltaminte,1998,Octombrie,..
03 Imbracaminte si incaltaminte,1998,Noiembrie,..
03 Imbracaminte si incaltaminte,1998,Decembrie,..
03 Imbracaminte si incaltaminte,1999,Ianuarie,..
03 Imbracaminte si incaltaminte,1999,Februarie,..
03 Imbracaminte si incaltaminte,1999,Martie,..
03 Imbracaminte si incaltaminte,1999,Aprilie,..
03 Imbracaminte si incaltaminte,1999,Mai,..
03 Imbracaminte si incaltaminte,1999,Iunie,..
03 Imbracaminte si incaltaminte,1999,Iulie,..
03 Imbracaminte si incaltaminte,1999,August,..
03 Imbracaminte si incaltaminte,1999,Septembrie,..
03 Imbracaminte si incaltaminte,1999,Octombrie,..
03 Imbracaminte si incaltaminte,1999,Noiembrie,..
03 Imbracaminte si incaltaminte,1999,Decembrie,..
03 Imbracaminte si incaltaminte,2000,Ianuarie,..
03 Imbracaminte si incaltaminte,2000,Februarie,..
03 Imbracaminte si incaltaminte,2000,Martie,..
03 Imbracaminte si incaltaminte,2000,Aprilie,..
03 Imbracaminte si incaltaminte,2000,Mai,..
03 Imbracaminte si incaltaminte,2000,Iunie,..
03 Imbracaminte si incaltaminte,2000,Iulie,..
03 Imbracaminte si incaltaminte,2000,August,..
03 Imbracaminte si incaltaminte,2000,Septembrie,..
03 Imbracaminte si incaltaminte,2000,Octombrie,..
03 Imbracaminte si incaltaminte,2000,Noiembrie,..
03 Imbracaminte si incaltaminte,2000,Decembrie,..
03 Imbracaminte si incaltaminte,2001,Ianuarie,..
03 Imbracaminte si incaltaminte,2001,Februarie,..
03 Imbracaminte si incaltaminte,2001,Martie,..
03 Imbracaminte si incaltaminte,2001,Aprilie,..
03 Imbracaminte si incaltaminte,2001,Mai,..
03 Imbracaminte si incaltaminte,2001,Iunie,..
03 Imbracaminte si incaltaminte,2001,Iulie,..
03 Imbracaminte si incaltaminte,2001,August,..
03 Imbracaminte si incaltaminte,2001,Septembrie,..
03 Imbracaminte si incaltaminte,2001,Octombrie,..
03 Imbracaminte si incaltaminte,2001,Noiembrie,..
03 Imbracaminte si incaltaminte,2001,Decembrie,..
03 Imbracaminte si incaltaminte,2002,Ianuarie,..
03 Imbracaminte si incaltaminte,2002,Februarie,..
03 Imbracaminte si incaltaminte,2002,Martie,..
03 Imbracaminte si incaltaminte,2002,Aprilie,..
03 Imbracaminte si incaltaminte,2002,Mai,..
03 Imbracaminte si incaltaminte,2002,Iunie,..
03 Imbracaminte si incaltaminte,2002,Iulie,..
03 Imbracaminte si incaltaminte,2002,August,..
03 Imbracaminte si incaltaminte,2002,Septembrie,..
03 Imbracaminte si incaltaminte,2002,Octombrie,..
03 Imbracaminte si incaltaminte,2002,Noiembrie,..
03 Imbracaminte si incaltaminte,2002,Decembrie,..
03 Imbracaminte si incaltaminte,2003,Ianuarie,..
03 Imbracaminte si incaltaminte,2003,Februarie,..
03 Imbracaminte si incaltaminte,2003,Martie,..
03 Imbracaminte si incaltaminte,2003,Aprilie,..
03 Imbracaminte si incaltaminte,2003,Mai,..
03 Imbracaminte si incaltaminte,2003,Iunie,..
03 Imbracaminte si incaltaminte,2003,Iulie,..
03 Imbracaminte si incaltaminte,2003,August,..
03 Imbracaminte si incaltaminte,2003,Septembrie,..
03 Imbracaminte si incaltaminte,2003,Octombrie,..
03 Imbracaminte si incaltaminte,2003,Noiembrie,..
03 Imbracaminte si incaltaminte,2003,Decembrie,..
03 Imbracaminte si incaltaminte,2004,Ianuarie,..
03 Imbracaminte si incaltaminte,2004,Februarie,..
03 Imbracaminte si incaltaminte,2004,Martie,..
03 Imbracaminte si incaltaminte,2004,Aprilie,..
03 Imbracaminte si incaltaminte,2004,Mai,..
03 Imbracaminte si incaltaminte,2004,Iunie,..
03 Imbracaminte si incaltaminte,2004,Iulie,..
03 Imbracaminte si incaltaminte,2004,August,..
03 Imbracaminte si incaltaminte,2004,Septembrie,..
03 Imbracaminte si incaltaminte,2004,Octombrie,..
03 Imbracaminte si incaltaminte,2004,Noiembrie,..
03 Imbracaminte si incaltaminte,2004,Decembrie,..
03 Imbracaminte si incaltaminte,2005,Ianuarie,..
03 Imbracaminte si incaltaminte,2005,Februarie,..
03 Imbracaminte si incaltaminte,2005,Martie,..
03 Imbracaminte si incaltaminte,2005,Aprilie,..
03 Imbracaminte si incaltaminte,2005,Mai,..
03 Imbracaminte si incaltaminte,2005,Iunie,..
03 Imbracaminte si incaltaminte,2005,Iulie,..
03 Imbracaminte si incaltaminte,2005,August,..
03 Imbracaminte si incaltaminte,2005,Septembrie,..
03 Imbracaminte si incaltaminte,2005,Octombrie,..
03 Imbracaminte si incaltaminte,2005,Noiembrie,..
03 Imbracaminte si incaltaminte,2005,Decembrie,..
03 Imbracaminte si incaltaminte,2006,Ianuarie,..
03 Imbracaminte si incaltaminte,2006,Februarie,..
03 Imbracaminte si incaltaminte,2006,Martie,..
03 Imbracaminte si incaltaminte,2006,Aprilie,..
03 Imbracaminte si incaltaminte,2006,Mai,..
03 Imbracaminte si incaltaminte,2006,Iunie,..
03 Imbracaminte si incaltaminte,2006,Iulie,..
03 Imbracaminte si incaltaminte,2006,August,..
03 Imbracaminte si incaltaminte,2006,Septembrie,..
03 Imbracaminte si incaltaminte,2006,Octombrie,..
03 Imbracaminte si incaltaminte,2006,Noiembrie,..
03 Imbracaminte si incaltaminte,2006,Decembrie,..
03 Imbracaminte si incaltaminte,2007,Ianuarie,..
03 Imbracaminte si incaltaminte,2007,Februarie,..
03 Imbracaminte si incaltaminte,2007,Martie,..
03 Imbracaminte si incaltaminte,2007,Aprilie,..
03 Imbracaminte si incaltaminte,2007,Mai,..
03 Imbracaminte si incaltaminte,2007,Iunie,..
03 Imbracaminte si incaltaminte,2007,Iulie,..
03 Imbracaminte si incaltaminte,2007,August,..
03 Imbracaminte si incaltaminte,2007,Septembrie,..
03 Imbracaminte si incaltaminte,2007,Octombrie,..
03 Imbracaminte si incaltaminte,2007,Noiembrie,..
03 Imbracaminte si incaltaminte,2007,Decembrie,..
03 Imbracaminte si incaltaminte,2008,Ianuarie,..
03 Imbracaminte si incaltaminte,2008,Februarie,..
03 Imbracaminte si incaltaminte,2008,Martie,..
03 Imbracaminte si incaltaminte,2008,Aprilie,..
03 Imbracaminte si incaltaminte,2008,Mai,..
03 Imbracaminte si incaltaminte,2008,Iunie,..
03 Imbracaminte si incaltaminte,2008,Iulie,..
03 Imbracaminte si incaltaminte,2008,August,..
03 Imbracaminte si incaltaminte,2008,Septembrie,..
03 Imbracaminte si incaltaminte,2008,Octombrie,..
03 Imbracaminte si incaltaminte,2008,Noiembrie,..
03 Imbracaminte si incaltaminte,2008,Decembrie,..
03 Imbracaminte si incaltaminte,2009,Ianuarie,..
03 Imbracaminte si incaltaminte,2009,Februarie,..
03 Imbracaminte si incaltaminte,2009,Martie,..
03 Imbracaminte si incaltaminte,2009,Aprilie,..
03 Imbracaminte si incaltaminte,2009,Mai,..
03 Imbracaminte si incaltaminte,2009,Iunie,..
03 Imbracaminte si incaltaminte,2009,Iulie,..
03 Imbracaminte si incaltaminte,2009,August,..
03 Imbracaminte si incaltaminte,2009,Septembrie,..
03 Imbracaminte si incaltaminte,2009,Octombrie,..
03 Imbracaminte si incaltaminte,2009,Noiembrie,..
03 Imbracaminte si incaltaminte,2009,Decembrie,..
03 Imbracaminte si incaltaminte,2010,Ianuarie,..
03 Imbracaminte si incaltaminte,2010,Februarie,..
03 Imbracaminte si incaltaminte,2010,Martie,..
03 Imbracaminte si incaltaminte,2010,Aprilie,..
03 Imbracaminte si incaltaminte,2010,Mai,..
03 Imbracaminte si incaltaminte,2010,Iunie,..
03 Imbracaminte si incaltaminte,2010,Iulie,..
03 Imbracaminte si incaltaminte,2010,August,..
03 Imbracaminte si incaltaminte,2010,Septembrie,..
03 Imbracaminte si incaltaminte,2010,Octombrie,..
03 Imbracaminte si incaltaminte,2010,Noiembrie,..
03 Imbracaminte si incaltaminte,2010,Decembrie,..
03 Imbracaminte si incaltaminte,2011,Ianuarie,..
03 Imbracaminte si incaltaminte,2011,Februarie,..
03 Imbracaminte si incaltaminte,2011,Martie,..
03 Imbracaminte si incaltaminte,2011,Aprilie,..
03 Imbracaminte si incaltaminte,2011,Mai,..
03 Imbracaminte si incaltaminte,2011,Iunie,..
03 Imbracaminte si incaltaminte,2011,Iulie,..
03 Imbracaminte si incaltaminte,2011,August,..
03 Imbracaminte si incaltaminte,2011,Septembrie,..
03 Imbracaminte si incaltaminte,2011,Octombrie,..
03 Imbracaminte si incaltaminte,2011,Noiembrie,..
03 Imbracaminte si incaltaminte,2011,Decembrie,..
03 Imbracaminte si incaltaminte,2012,Ianuarie,..
03 Imbracaminte si incaltaminte,2012,Februarie,..
03 Imbracaminte si incaltaminte,2012,Martie,..
03 Imbracaminte si incaltaminte,2012,Aprilie,..
03 Imbracaminte si incaltaminte,2012,Mai,..
03 Imbracaminte si incaltaminte,2012,Iunie,..
03 Imbracaminte si incaltaminte,2012,Iulie,..
03 Imbracaminte si incaltaminte,2012,August,..
03 Imbracaminte si incaltaminte,2012,Septembrie,..
03 Imbracaminte si incaltaminte,2012,Octombrie,..
03 Imbracaminte si incaltaminte,2012,Noiembrie,..
03 Imbracaminte si incaltaminte,2012,Decembrie,..
03 Imbracaminte si incaltaminte,2013,Ianuarie,..
03 Imbracaminte si incaltaminte,2013,Februarie,..
03 Imbracaminte si incaltaminte,2013,Martie,..
03 Imbracaminte si incaltaminte,2013,Aprilie,..
03 Imbracaminte si incaltaminte,2013,Mai,..
03 Imbracaminte si incaltaminte,2013,Iunie,..
03 Imbracaminte si incaltaminte,2013,Iulie,..
03 Imbracaminte si incaltaminte,2013,August,..
03 Imbracaminte si incaltaminte,2013,Septembrie,..
03 Imbracaminte si incaltaminte,2013,Octombrie,..
03 Imbracaminte si incaltaminte,2013,Noiembrie,..
03 Imbracaminte si incaltaminte,2013,Decembrie,..
03 Imbracaminte si incaltaminte,2014,Ianuarie,..
03 Imbracaminte si incaltaminte,2014,Februarie,..
03 Imbracaminte si incaltaminte,2014,Martie,..
03 Imbracaminte si incaltaminte,2014,Aprilie,..
03 Imbracaminte si incaltaminte,2014,Mai,..
03 Imbracaminte si incaltaminte,2014,Iunie,..
03 Imbracaminte si incaltaminte,2014,Iulie,..
03 Imbracaminte si incaltaminte,2014,August,..
03 Imbracaminte si incaltaminte,2014,Septembrie,..
03 Imbracaminte si incaltaminte,2014,Octombrie,..
03 Imbracaminte si incaltaminte,2014,Noiembrie,..
03 Imbracaminte si incaltaminte,2014,Decembrie,..
03 Imbracaminte si incaltaminte,2015,Ianuarie,93.93
03 Imbracaminte si incaltaminte,2015,Februarie,95.66
03 Imbracaminte si incaltaminte,2015,Martie,97.18
03 Imbracaminte si incaltaminte,2015,Aprilie,98.26
03 Imbracaminte si incaltaminte,2015,Mai,99.10
03 Imbracaminte si incaltaminte,2015,Iunie,99.37
03 Imbracaminte si incaltaminte,2015,Iulie,99.65
03 Imbracaminte si incaltaminte,2015,August,100.55
03 Imbracaminte si incaltaminte,2015,Septembrie,101.55
03 Imbracaminte si incaltaminte,2015,Octombrie,103.65
03 Imbracaminte si incaltaminte,2015,Noiembrie,104.99
03 Imbracaminte si incaltaminte,2015,Decembrie,106.12
03 Imbracaminte si incaltaminte,2016,Ianuarie,106.76
03 Imbracaminte si incaltaminte,2016,Februarie,107.06
03 Imbracaminte si incaltaminte,2016,Martie,107.46
03 Imbracaminte si incaltaminte,2016,Aprilie,108.05
03 Imbracaminte si incaltaminte,2016,Mai,108.75
03 Imbracaminte si incaltaminte,2016,Iunie,108.95
03 Imbracaminte si incaltaminte,2016,Iulie,108.52
03 Imbracaminte si incaltaminte,2016,August,108.85
03 Imbracaminte si incaltaminte,2016,Septembrie,110.26
03 Imbracaminte si incaltaminte,2016,Octombrie,111.61
